2003,How Understanding and Restructuring Differ from Compiling — A Rewriting Perspective,Paul Klint,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199184
2003,YAAB (Yet Another AST Browser): Using OCL to Navigate ASTs,"G. Antoniol, M. Di Penta, E. Merlo",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199185
2003,Design Recovery of a Two Level System,"Thomas Dean, Yuling Chen",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199186
2003,"Effective, Automatic Procedure Extraction","Raghavan Komondoor, Susan Horwitz",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199187
2003,Understanding Change-Proneness in OO Software through Visualization,"James M. Bieman, Anneliese A. Andrews, Helen J. Yang",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199188
2003,Analyzing and Understanding Architectural Characteristics of COM+ Components,"Martin Pinzger, Johann Oberleitner, Harald Gall",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199189
2003,A Tool For Understanding Multi-Language Program Dependencies,"Panagiotis K. Linos, Zhi-hong Chen, Seth Berrier, Brian O'Rourke",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199190
2003,Event-Based Performance Analysis,Steven P. Reiss,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199191
2003,Applying the Decorator Pattern for Profiling Object-Oriented Software,"Edward B. Duffy, J. Paul Gibson, Brian A. Malloy",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199192
2003,Automatic Design Pattern Detection,"Dirk Heuzeroth, Thomas Holl, Gustav Högström, Welf Löwe",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199193
2003,Comprehension of Software Analysis Data Using 3D Visualization,"Andrian Marcus, Louis Feng, Jonathan I. Maletic",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199194
2003,Identifying Comprehension Bottlenecks Using Program Slicing and Cognitive Complexity Metrics,"Juergen Rilling, Tuomas Klemola",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199195
2003,Facilitating Program Comprehension by Mining Association Rules from Source Code,"Christos Tjortjis, Loukas Sinos, Paul Layzell",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199196
2003,An XML-Based Lightweight C++ Fact Extractor,"Michael L. Collard, Huzefa H. Kagdi, Jonathan I. Maletic",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=10005
2003,Generalized Selective XML Markup of Source Code Using Agile Parsing,James R. Cordy,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=10007
2003,Syntactic Approximation Using Iterative Lexical Analysis,"Anthony Cox, Charles Clarke",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=10006
2003,Blooms' Taxonomy: A Framework for Assessing Programmers' Knowledge of Software Systems,"Jim Buckley, Chris Exton",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199200
2003,Individual Differences in Program Comprehension Strategies in Unfamiliar Programming Systems,"Andrew Jensen Ko, Bob Uttl",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199201
2003,Observing and Measuring Cognitive Support: Steps Toward Systematic Tool Evaluation and Engineering,Andrew Walenstein,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199202
2003,Comprehending Reality -- Practical Barriers to Industrial Adoption of Software Maintenance Automation,James R. Cordy,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199203
2003,Using Clustering to Support the Migration from Static to Dynamic Web Pages,"Filippo Ricca, Paolo Tonella",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199204
2003,Software Components Capture Using Graph Clustering,"Yves Chiricota, Fabien Jourdan, Guy Melançon",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199205
2003,An Optimal Algorithm for MoJo Distance,"Zhihua Wen, Vassilios Tzerpos",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199206
2003,Scaling an Object-Oriented System Execution Visualizer through Sampling,"Andrew Chan, Reid Holmes, Gail C. Murphy, Annie T.T. Ying",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199207
2003,Using Run-Time Data for Program Comprehension,"Thomas Gschwind, Johann Oberleitner, Martin Pinzger",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199208
2003,Are Decomposition Slices Clones?,"Keith Gallagher, Lucas Layman",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199209
2003,Verification of Recovered Software Architectures,"Gerald C. Gannod, Shilpa Murthy",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199210
2003,Enhancing Domain-Specific Software Architecture Recovery,"Igor Ivkovic, Michael Godfrey",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199211
2003,Handling Large Search Space in Pattern-Based Reverse Engineering,"Jörg Niere, Jörg P. Wadsack, Lothar Wendehals",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=1199212
